comparator_depth_m,depth_m,formal_case,frequency_state_space_relative_error,grid_level,impulse_integral_relative_error,impulse_step_derivative_relative_error,maximum_pole_real_per_s,minimum_capacity_J_m2K,minimum_conductance_matrix_eigenvalue_W_m2K,minimum_physical_conductance_W_m2K,minimum_real_admittance_relative_margin,passed,physical_depth_m,region,step_DC_relative_error,step_initial_relative_error,voting
1.28e-05,6.4e-06,False,1.2098205899965746e-13,coarse,8.543759852442995e-16,2.155910712483594e-13,-40945422.55451606,0.22694821326180528,2501116320.7567554,7.62939453125e-06,0.5234388738245997,True,6.4e-06,electrode_covered_vo2,0.0,8.542990020171031e-16,False
1.28e-05,6.4e-06,False,6.194918632146794e-13,fine,3.2464824692066503e-15,4.268062813430254e-15,-41074543.03458171,0.11347410663090264,1253203874.6108148,1.52587890625e-05,0.5234436960130353,True,6.4e-06,electrode_covered_vo2,0.0,3.246336207664992e-15,False
1.28e-05,6.4e-06,False,1.4307773544450133e-13,coarse,1.3669399870343789e-15,9.244691867539392e-14,-10236035.097015228,0.22694821326180528,1252608387.2714384,3.814697265625e-06,0.5234370920199397,True,1.28e-05,electrode_covered_vo2,0.0,1.366878403227365e-15,False
1.28e-05,6.4e-06,False,6.071307471330261e-13,fine,3.075545687483774e-15,2.0898256021140102e-13,-10268552.10636667,0.11347410663090264,627631666.855029,7.62939453125e-06,0.523443248032938,True,1.28e-05,electrode_covered_vo2,0.0,3.0754764072615714e-15,False
2.56e-05,1.28e-05,False,3.7403974308802165e-14,coarse,0.0,7.624401200429322e-14,-40886787.79090356,0.14506376004643567,2505216774.5484443,7.62939453125e-06,0.6876598202104508,True,1.28e-05,bare_vo2,0.0,0.0,False
2.56e-05,1.28e-05,False,4.4052783056431604e-13,fine,1.1111175638185213e-15,1.6233167808862895e-12,-41016673.63521146,0.07253188002321784,1255263333.7129009,1.52587890625e-05,0.6873258750717967,True,1.28e-05,bare_vo2,0.0,1.1110768734780495e-15,False
2.56e-05,1.28e-05,False,2.677499066096177e-13,coarse,9.722278683412058e-16,9.02927337245034e-14,-10223540.980104577,0.14506376004643567,1225697885.1961741,3.814697265625e-06,0.6888023689576445,True,2.56e-05,bare_vo2,0.0,9.721922642932934e-16,False
2.56e-05,1.28e-05,False,5.19382981605679e-13,fine,1.3888715228446838e-15,2.594100708283301e-13,-10254643.492706899,0.07253188002321784,614091310.9428887,7.62939453125e-06,0.6884067311637816,True,2.56e-05,bare_vo2,0.0,1.388846091847562e-15,False
2.56e-05,1.28e-05,False,8.281419047867019e-14,coarse,1.70867498378916e-16,7.674984287313188e-14,-40886787.79090356,0.11363327870304128,2505216774.5484443,7.62939453125e-06,0.5521236227381963,True,1.28e-05,electrode_covered_vo2,0.0,1.7085980040303926e-16,False
2.56e-05,1.28e-05,False,2.2753348097206906e-12,fine,4.442454881911092e-15,1.623715680327507e-12,-41016673.63521146,0.05681663935152064,1255263333.7129009,1.52587890625e-05,0.5521800388133261,True,1.28e-05,electrode_covered_vo2,0.0,4.442354810479021e-15,False
