transition_width,T_sw_delta_K,model,strategy,seed,finite_residual,state_residual_mse,stiffness_indicator,residual_median_proxy,uses_fourier_features,uses_continuation
1.0,0.4,vanilla_mlp,direct_stiff_residual,2027,True,0.007771191652864218,0.062131766229867935,0.06990295648574829,False,False
1.0,0.4,vanilla_mlp,direct_stiff_residual,2028,True,0.0291628148406744,0.06169326230883598,0.09085607528686523,False,False
1.0,0.4,vanilla_mlp,low_to_high_width_continuation,2026,True,0.015876969322562218,0.06211336702108383,0.049718838185071945,False,True
1.0,0.4,vanilla_mlp,low_to_high_width_continuation,2027,True,0.007771191652864218,0.062131766229867935,0.044563133269548416,False,True
1.0,0.4,vanilla_mlp,low_to_high_width_continuation,2028,True,0.0291628148406744,0.06169326230883598,0.05792074650526047,False,True
1.0,0.4,fourier_feature_mlp,direct_stiff_residual,2026,True,0.034808199852705,0.06230293959379196,0.08837113529443741,True,False
1.0,0.4,fourier_feature_mlp,direct_stiff_residual,2027,True,0.023974398151040077,0.062314722687006,0.07852310687303543,True,False
1.0,0.4,fourier_feature_mlp,direct_stiff_residual,2028,True,0.031079962849617004,0.06249655410647392,0.08515463769435883,True,False
1.0,0.4,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.034808199852705,0.06230293959379196,0.056336596608161926,True,True
1.0,0.4,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.023974398151040077,0.062314722687006,0.050058480352163315,True,True
1.0,0.4,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.031079962849617004,0.06249655410647392,0.054286081343889236,True,True
1.0,1.0,vanilla_mlp,direct_stiff_residual,2026,True,0.012064415030181408,0.062022313475608826,0.07408672571182251,False,False
1.0,1.0,vanilla_mlp,direct_stiff_residual,2027,True,0.011925969272851944,0.061984430998563766,0.07391040027141571,False,False
1.0,1.0,vanilla_mlp,direct_stiff_residual,2028,True,0.0705091804265976,0.0593542717397213,0.1298634558916092,False,False
1.0,1.0,vanilla_mlp,low_to_high_width_continuation,2026,True,0.012064415030181408,0.062022313475608826,0.04723028838634491,False,True
1.0,1.0,vanilla_mlp,low_to_high_width_continuation,2027,True,0.011925969272851944,0.061984430998563766,0.04711787775158882,False,True
1.0,1.0,vanilla_mlp,low_to_high_width_continuation,2028,True,0.0705091804265976,0.0593542717397213,0.08278795331716537,False,True
1.0,1.0,fourier_feature_mlp,direct_stiff_residual,2026,True,0.034783776849508286,0.06302464008331299,0.08900566399097443,True,False
1.0,1.0,fourier_feature_mlp,direct_stiff_residual,2027,True,0.023447556421160698,0.06343944370746613,0.0790671706199646,True,False
1.0,1.0,fourier_feature_mlp,direct_stiff_residual,2028,True,0.03136798366904259,0.06417399644851685,0.08694320917129517,True,False
